"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_names"
"1",3.86880529219734e-17,0.719092724175169,1,1,7.73761058439468e-14,"NMF_1","4508","ATP6"
"2",1.68670122222927e-16,0.775348235485291,1,1,3.37340244445854e-13,"NMF_1","106480796","MTATP6P1"
"3",1.2255569716191e-14,0.66952514169375,1,1,2.45111394323821e-11,"NMF_1","4536","ND2"
"4",1.53949947006776e-14,0.674159759920375,1,1,3.07899894013551e-11,"NMF_1","4513","COX2"
"5",1.67389755214212e-13,0.701138174099125,1,1,3.34779510428424e-10,"NMF_1","4519","CYTB"
"6",2.00696324828671e-12,1.49480369920348,1,1,4.01392649657341e-09,"NMF_1","3934","LCN2"
"7",5.40817357183745e-12,0.693377976581324,1,1,1.08163471436749e-08,"NMF_1","4541","ND6"
"8",1.27791688971709e-11,0.863547985528678,1,1,2.55583377943419e-08,"NMF_1","5920","PLAAT4"
"9",4.169893646163e-11,0.851764501921323,1,1,8.33978729232601e-08,"NMF_1","4582","MUC1"
"10",9.36631846646644e-11,0.88682028061554,1,1,1.87326369329329e-07,"NMF_1","79679","VTCN1"
"11",1.26870629202902e-10,0.99258960952595,1,1,2.53741258405804e-07,"NMF_1","972","CD74"
"12",4.47816304334117e-10,0.690629355122903,1,1,8.95632608668233e-07,"NMF_1","8542","APOL1"
"13",8.91940680123647e-10,0.706330851524166,1,1,1.78388136024729e-06,"NMF_1","80830","APOL6"
"14",8.95097464353106e-10,0.958295322263309,1,1,1.79019492870621e-06,"NMF_1","3108","HLA-DMA"
"15",3.79764190091532e-09,0.895707546017043,1,1,7.59528380183064e-06,"NMF_1","3123","HLA-DRB1"
"16",7.19637892860822e-09,0.671858367327314,1,1,1.43927578572164e-05,"NMF_1","84875","PARP10"
"17",3.55548101781175e-08,0.700181438777919,1,1,7.11096203562351e-05,"NMF_1","3106","HLA-B"
"18",8.84083337680752e-08,0.785373652722523,1,1,0.00017681666753615,"NMF_1","3115","HLA-DPB1"
"19",2.5727400665699e-07,0.68422121969593,1,1,0.00051454801331398,"NMF_1","107075141","MTCO1P12"
"20",6.72872095259933e-07,0.917534578934943,1,1,0.00134574419051987,"NMF_1","1116","CHI3L1"
"21",8.86813982716604e-07,0.802777220152114,1,1,0.00177362796543321,"NMF_1","3113","HLA-DPA1"
"22",1.29034671736241e-06,0.670058063085913,1,1,0.00258069343472482,"NMF_1","3117","HLA-DQA1"
"23",1.51047262391861e-06,1.02631844665696,1,1,0.00302094524783721,"NMF_1","283131","NEAT1"
"24",1.63364897001753e-06,0.810497098788105,1,1,0.00326729794003506,"NMF_1","259307","IL4I1"
"25",1.93096138230725e-06,0.669152687668957,1,1,0.0038619227646145,"NMF_1","3122","HLA-DRA"
"26",4.2663346847839e-06,0.771437432481921,1,1,0.0085326693695678,"NMF_1","378938","MALAT1"
"27",9.60463972009264e-06,0.717481146298574,1,1,0.0192092794401853,"NMF_1","150696","PROM2"
"28",4.14755533005273e-05,0.671694777647401,1,1,0.0829511066010545,"NMF_1","7127","TNFAIP2"
"29",0.000102101410015575,0.676470827272164,1,1,0.20420282003115,"NMF_1","3119","HLA-DQB1"
"30",0.000145150195607843,0.819115289129446,1,1,0.290300391215686,"NMF_1","3127","HLA-DRB5"
"31",2.23204129832231e-34,2.83831848817511,1,1,4.46408259664461e-31,"NMF_2","2335","FN1"
"32",4.86987310878962e-32,2.41265145839444,1,1,9.73974621757924e-29,"NMF_2","165","AEBP1"
"33",5.23658451755831e-32,2.84805284835484,1,1,1.04731690351166e-28,"NMF_2","1289","COL5A1"
"34",2.18793874151964e-31,2.33851697593289,1,1,4.37587748303929e-28,"NMF_2","1278","COL1A2"
"35",3.46255686730399e-31,2.57519401853896,1,1,6.92511373460799e-28,"NMF_2","1277","COL1A1"
"36",7.38142479347373e-31,2.27929974932258,1,1,1.47628495869475e-27,"NMF_2","1293","COL6A3"
"37",1.43930340255496e-30,2.66307074365199,1,1,2.87860680510992e-27,"NMF_2","1281","COL3A1"
"38",1.5231676073305e-30,2.63871294563344,1,1,3.04633521466101e-27,"NMF_2","1290","COL5A2"
"39",1.73020930160767e-30,2.38207214091585,1,1,3.46041860321535e-27,"NMF_2","4313","MMP2"
"40",3.0441173643913e-30,2.57061022485475,1,1,6.08823472878259e-27,"NMF_2","4060","LUM"
"41",5.49514847741183e-30,1.82626247041236,1,1,1.09902969548237e-26,"NMF_2","4323","MMP14"
"42",4.43394369580223e-29,2.06371827270606,1,1,8.86788739160445e-26,"NMF_2","6678","SPARC"
"43",7.38299708089029e-29,1.97680480522683,1,1,1.47659941617806e-25,"NMF_2","1634","DCN"
"44",9.07310945286017e-29,2.05957704228092,1,1,1.81462189057203e-25,"NMF_2","1292","COL6A2"
"45",1.32277546762978e-28,1.91785633840206,1,1,2.64555093525956e-25,"NMF_2","5176","SERPINF1"
"46",2.00698143245002e-28,1.90682425838101,1,1,4.01396286490004e-25,"NMF_2","7057","THBS1"
"47",3.65310937559286e-28,1.87743429812002,1,1,7.30621875118571e-25,"NMF_2","633","BGN"
"48",1.19989220686436e-27,1.73640949134518,1,1,2.39978441372873e-24,"NMF_2","84168","ANTXR1"
"49",1.61242206916128e-27,2.11485766818789,1,1,3.22484413832256e-24,"NMF_2","7078","TIMP3"
"50",2.68179946445723e-27,1.82884815041263,1,1,5.36359892891447e-24,"NMF_2","7045","TGFBI"
"51",2.10292244295241e-26,2.20775800695952,1,1,4.20584488590482e-23,"NMF_2","151887","CCDC80"
"52",6.26140009959389e-26,1.96674353456444,1,1,1.25228001991878e-22,"NMF_2","1291","COL6A1"
"53",7.27053799721023e-26,1.7740266447658,1,1,1.45410759944205e-22,"NMF_2","1303","COL12A1"
"54",2.09845398222442e-25,2.70757273331743,1,1,4.19690796444883e-22,"NMF_2","4320","MMP11"
