"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_names"
"1278",1.05717680219859e-12,-0.309173186324439,1,1,5.28588401099293e-09,"NMF_4","1278","COL1A2"
"4582",1.25738967176985e-12,0.256159214598283,1,1,6.28694835884927e-09,"NMF_4","4582","MUC1"
"284340",1.58314057552284e-12,0.304719670900274,1,1,7.91570287761419e-09,"NMF_4","284340","CXCL17"
"4313",1.62927779378473e-12,-0.386980337349091,1,1,8.14638896892366e-09,"NMF_4","4313","MMP2"
"2260",1.78852148138127e-12,-0.253867489262869,1,1,8.94260740690637e-09,"NMF_4","2260","FGFR1"
"1191",2.41461179797875e-12,0.272108909738621,1,1,1.20730589898938e-08,"NMF_4","1191","CLU"
"1277",2.78392376453018e-12,-0.305705897151539,1,1,1.39196188226509e-08,"NMF_4","1277","COL1A1"
"1292",4.76418714717735e-12,-0.322434726572412,1,1,2.38209357358867e-08,"NMF_4","1292","COL6A2"
"2192",4.96941701209537e-12,-0.257740664019697,1,1,2.48470850604768e-08,"NMF_4","2192","FBLN1"
"1462",5.63850260179908e-12,-0.39331959875036,1,1,2.81925130089954e-08,"NMF_4","1462","VCAN"
"116113",6.48569407716956e-12,-0.254047611347238,1,1,3.24284703858478e-08,"NMF_4","116113","FOXP4"
"2335",6.66952114995654e-12,-0.402825936075476,1,1,3.33476057497827e-08,"NMF_4","2335","FN1"
"115908",7.10200220941838e-12,-0.276654517252711,1,1,3.55100110470919e-08,"NMF_4","115908","CTHRC1"
"6387",9.25146742434769e-12,-0.277789167266394,1,1,4.62573371217384e-08,"NMF_4","6387","CXCL12"
"1672",9.31588674030493e-12,0.252455716015832,1,1,4.65794337015247e-08,"NMF_4","1672","DEFB1"
"1116",1.8938863793865e-11,0.303299511974502,1,1,9.46943189693249e-08,"NMF_4","1116","CHI3L1"
"84467",2.35596516684396e-11,-0.258248508311061,0.993,1,1.17798258342198e-07,"NMF_4","84467","FBN3"
"1281",2.66263578830658e-11,-0.387667438126696,1,1,1.33131789415329e-07,"NMF_4","1281","COL3A1"
"8743",3.88837572980074e-11,0.266689288827586,1,1,1.94418786490037e-07,"NMF_4","8743","TNFSF10"
"150696",4.59999972808852e-11,0.268144842020793,1,1,2.29999986404426e-07,"NMF_4","150696","PROM2"
"1290",6.25702271009898e-11,-0.398700504616827,1,1,3.12851135504949e-07,"NMF_4","1290","COL5A2"
"4232",6.73263875177242e-11,-0.277923127494026,1,1,3.36631937588621e-07,"NMF_4","4232","MEST"
"3339",6.86837426196226e-11,-0.279377211179629,1,1,3.43418713098113e-07,"NMF_4","3339","HSPG2"
"5176",8.21675649229685e-11,-0.315698065712092,1,1,4.10837824614843e-07,"NMF_4","5176","SERPINF1"
"1293",9.44135927114579e-11,-0.360389368974362,1,1,4.72067963557289e-07,"NMF_4","1293","COL6A3"
"1291",1.22868563573026e-10,-0.307127469374691,1,1,6.1434281786513e-07,"NMF_4","1291","COL6A1"
"1634",2.25331097784534e-10,-0.353036667888379,1,1,1.12665548892267e-06,"NMF_4","1634","DCN"
"5016",2.46690984341179e-10,0.305885623910864,1,1,1.23345492170589e-06,"NMF_4","5016","OVGP1"
